"工程名称","施工许可证编号","省级项目编号","建设单位","建设地址","建设规模","合同价格","工程总承包单位","勘察单位","设计单位","施工单位","监理单位","建设单位项目负责人","工程总承包项目经理","勘察单位项目负责人","设计单位项目负责人","施工单位项目负责人","总监理工程师","合同工期","状态","备注","发证机关","数据等级","项目名称","组织机构代码","项目所在地","详细地址","立项文号","立项级别","立项批复机关","立项批复时间","总投资（万元）","总面积/长度（平方米/米）","建设性质","工程用途","计划开工日期","许可_建设单位","许可_建设规模","许可_数据等级","省级竣工验收备案编号","竣工验收备案编号","备案机关","结构体系","实际造价（万元）","实际面积（平方米）","实际开工日期","实际竣工日期","竣工_数据等级","省级施工许可证编号","建设单位组织机构代码","施工单位组织机构代码","合同价格（万元）","合同金额","合同面积（平方米）","合同面积","合同开工日期","合同竣工日期","发证日期","建设单位_社会信用代码","建设单位_电话","建设单位_法人","建设单位_地址","建设单位_成立日期","勘察单位_社会信用代码","勘察单位_电话","勘察单位_法人","勘察单位_地址","勘察单位_成立日期","勘察单位_匹配单位名","设计单位_社会信用代码","设计单位_电话","设计单位_法人","设计单位_地址","设计单位_成立日期","施工单位_社会信用代码","施工单位_电话","施工单位_法人","施工单位_地址","施工单位_成立日期","施工单位_匹配单位名","监理单位_社会信用代码","监理单位_电话","监理单位_法人","监理单位_地址","监理单位_成立日期","监理单位_匹配单位名","设计单位_匹配单位名","建设单位_匹配单位名","变更备注"
"黄埔区将军山地块横二路、横三路、 纵二路市政道路工程","440112202608180102","4401122608180001","广州开发区财政投资建设项目管理中心","广州市黄埔区南岗街道广州市 黄埔区 南岗街道","1.38 千米","5127.3845","中交第二航务工程局有限公司","江西核地勘测设计有限公司","中交第二公路勘察设计研究院有限公司","中交第二航务工程局有限公司,科学城(广州)建筑工程有限公司","广州珠江监理咨询集团有限公司","高尚","龙志军","邵继勇","黄洪超","龙志军","崔伟","418 日历天","正常","质量监督注册号:HPJD20260005;安全监督注册号:HPJD20260005","广州市黄埔区住房和城乡建设局","C","","","","","","","","","","","","","","广州开发区财政投资建设项目管理中心","1.38 千米","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1、在2026-08-21 14:35:11清空了建设单位字段的""广州开发区财政投资建设项目管理中心""数据 2、在2026-08-21 14:35:11清空了建设规模字段的""1.38 千米""数据 3、在2026-08-21 14:35:11清空了数据等级字段的""C""数据 4、在2026-08-21 14:35:11新增了许可_建设单位字段的""广州开发区财政投资建设项目管理中心""数据 5、在2026-08-21 14:35:11新增了许可_建设规模字段的""1.38 千米""数据 6、在2026-08-21 14:35:11新增了许可_数据等级字段的""C""数据"
"梅观创新走廊智造产业园桩基础工程","440301202608180301","4403012103239912","深圳市福民丹坑股份合作公司,深圳市福民江围股份合作公司,深圳市福民悦兴罗氏股份合作公司,深圳市宝松股份合作公司,深圳市大布巷股份合作公司,深圳市龙华安居有限公司（委托建设）","龙华区福城街道新丹路南面丹荟路东面","0","4923.0218","","深圳市岩土综合勘察设计有限公司","基准方中建筑设计股份有限公司","上海市基础工程集团有限公司","深圳市建力建设监理有限公司","王川","","","","蔡用国","张赣江","89 日历天","正常","质量监督注册号:无;安全监督注册号:无","深圳市龙华区住房和建设局","C","","","","","","","","","","","","","","深圳市福民丹坑股份合作公司,深圳市福民江围股份合作公司,深圳市福民悦兴罗氏股份合作公司,深圳市宝松股份合作公司,深圳市大布巷股份合作公司,深圳市龙华安居有限公司（委托建设）","0","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1、在2026-08-21 14:35:11清空了建设单位字段的""深圳市福民丹坑股份合作公司,深圳市福民江围股份合作公司,深圳市福民悦兴罗氏股份合作公司,深圳市宝松股份合作公司,深圳市大布巷股份合作公司,深圳市龙华安居有限公司（委托建设）""数据 2、在2026-08-21 14:35:11清空了建设规模字段的""0""数据 3、在2026-08-21 14:35:11清空了数据等级字段的""C""数据 4、在2026-08-21 14:35:11新增了许可_建设单位字段的""深圳市福民丹坑股份合作公司,深圳市福民江围股份合作公司,深圳市福民悦兴罗氏股份合作公司,深圳市宝松股份合作公司,深圳市大布巷股份合作公司,深圳市龙华安居有限公司（委托建设）""数据 5、在2026-08-21 14:35:11新增了许可_建设规模字段的""0""数据 6、在2026-08-21 14:35:11新增了许可_数据等级字段的""C""数据"
"梅观创新走廊智造产业园主体工程","440301202608180401","4403012103239912","深圳市龙华安居有限公司（委托建设）,深圳市福民丹坑股份合作公司,深圳市福民江围股份合作公司,深圳市福民悦兴罗氏股份合作公司,深圳市宝松股份合作公司,深圳市大布巷股份合作公司","龙华区福城街道新丹路南面丹荟路东面","261275.39","59665.4079","","深圳市岩土综合勘察设计有限公司","深圳市同济人建筑设计有限公司","中建三局第二建设工程有限责任公司","深圳市建力建设监理有限公司","王川","","","","卫洋洲","张赣江","835 日历天","正常","质量监督注册号:无;安全监督注册号:无","深圳市龙华区住房和建设局","C","","","","","","","","","","","","","","深圳市龙华安居有限公司（委托建设）,深圳市福民丹坑股份合作公司,深圳市福民江围股份合作公司,深圳市福民悦兴罗氏股份合作公司,深圳市宝松股份合作公司,深圳市大布巷股份合作公司","261275.39","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1、在2026-08-21 14:35:11清空了建设单位字段的""深圳市龙华安居有限公司（委托建设）,深圳市福民丹坑股份合作公司,深圳市福民江围股份合作公司,深圳市福民悦兴罗氏股份合作公司,深圳市宝松股份合作公司,深圳市大布巷股份合作公司""数据 2、在2026-08-21 14:35:11清空了建设规模字段的""261275.39""数据 3、在2026-08-21 14:35:11清空了数据等级字段的""C""数据 4、在2026-08-21 14:35:11新增了许可_建设单位字段的""深圳市龙华安居有限公司（委托建设）,深圳市福民丹坑股份合作公司,深圳市福民江围股份合作公司,深圳市福民悦兴罗氏股份合作公司,深圳市宝松股份合作公司,深圳市大布巷股份合作公司""数据 5、在2026-08-21 14:35:11新增了许可_建设规模字段的""261275.39""数据 6、在2026-08-21 14:35:11新增了许可_数据等级字段的""C""数据"
"严云新商住楼","441602202608100101","4416022608100001","","河源市新市区东埔白岭头管理区205国道东边地段","","610","","河源市工程勘察院有限公司","广东鸿宇建筑与工程设计顾问有限公司","广东卓凡工程安装有限公司","中楠建设管理集团有限公司","严海峰","","蒋小刚","李俊刚","叶星","谷彬","365 日历天","正常","质量监督注册号:S2026001;安全监督注册号:S2026001","河源市源城区住房和城乡建设局","","严云新商住楼","","","","","","","","","","新建","","","严云新","新建1栋商住楼地上7层面积3740平方米，地下1层面积956.16平方米，建筑总面积4696.16平方米。（框架结构）","C","","","","框架结构","","","","","","441602202608100101","**142419**********","MA51869Q7","610","610","4696.16","4696.16","2026-08-22 00:00:00","2027-08-22 00:00:00","2026-08-10 00:00:00","","","","","","91441600232610246W","13750244179","杨景和","河源市新市区建设大道87号803室","1993-07-21","河源市工程勘察院有限公司","91441900752868582P","0769-22323284","张念华","东莞市莞城街道莞太路34号创意产业中心园区8号楼第4层整层","2003-07-14","91441600MA51869Q7R","0762-3226558","曾月丰","河源市市区东城中片区越王大道东边、纬十五路北边万达东江城一期二组团D3栋05","2018-01-10","广东卓凡工程安装有限公司","91130102MA0F0B73XN","18431995493","韩帅","河北省石家庄市桥西区胜利南街118号塔坛国际商贸城5号写字楼1715室","2020-05-25","中楠建设管理集团有限公司","广东鸿宇建筑与工程设计顾问有限公司","","1、在2026-08-21 14:35:11新增了本条记录（4416022608100001 严云新商住楼），共58个字段有数据"
"广东华筑铝合金模板有限公司厂区-2号厂房","441602202608110101","4416022608110001","","河源市河源大道东边，农场路南边","","900","","广东海业岩土工程有限公司","广州亚泰建筑设计院有限公司","广东源兴建设工程有限公司","中楠建设管理集团有限公司","翁洪贞","","余红安","王成","顾伶俐","何海景","365 日历天","正常","质量监督注册号:2026-018;安全监督注册号:2026-018","河源市源城区住房和城乡建设局","","广东华筑铝合金模板有限公司厂区-2号厂房","","","","","","","","","","新建","","","广东华筑铝合金模板有限公司","2号厂房，一栋三层，总建筑面积:9708平方米（框架结构)","C","","","","框架结构","","","","","","441602202608110101","MA4UP9A73","MA55LU6Y3","900","900","9708","9708","2021-01-20 00:00:00","2022-01-20 00:00:00","2026-08-11 00:00:00","91441600MA4UP9A738","17322491580","翁洪贞","河源市源城区龙岭工业园龙岭三路企业服务中心大楼323房","2016-05-05","914413027769403580","0752-7777757","何西德","惠州市惠城区水口街道祥和路5号之一","2005-07-05","广东海业岩土工程有限公司","91440101190782401Q","18926176112","王成","广州市天河区华观路1934号（自编A2栋）803房、804房、805房、806房（仅限办公）","1992-10-24","91441625MA55LU6Y3Q","15016208082","张雪浩","东源县蝴蝶岭工业园阳光商业广场1号-43","2020-11-27","广东源兴建设工程有限公司","91130102MA0F0B73XN","18431995493","韩帅","河北省石家庄市桥西区胜利南街118号塔坛国际商贸城5号写字楼1715室","2020-05-25","中楠建设管理集团有限公司","广州亚泰建筑设计院有限公司","广东华筑铝合金模板有限公司","1、在2026-08-21 14:35:11新增了本条记录（4416022608110001 广东华筑铝合金模板有限公司厂区-2号厂房），共64个字段有数据"
"源城区绿美环湖路（西环路段）提升改造建设项目设计施工总承包","441602202608110201","4416022608110002","","河源市源城区西环路（源西段），南起庄田桥，北至万绿湖大道，全长约5.5公里，涉及源西街道庄田村、新塘村等8个村(社区)","","1083.0904","广东源信建设有限公司","","河源城建市政规划设计有限公司","广东源信建设有限公司","广东粤众建项目管理咨询有限公司","吴其璐","傅彭镇","","梁志光","傅彭镇","管忠祥","121 日历天","正常","质量监督注册号:2026-017;安全监督注册号:2026-017","河源市源城区住房和城乡建设局","","源城区绿美环湖路（西环路段）提升改造建设项目设计施工总承包","","","","","","","","","","改建","","","河源市源城区源西街道办事处","房建工程、环境整治工程、景观提升工程及相关市政配套工程。包括对沿线约255栋房屋进行屋顶及外立面改造提升；新建或翻新围墙围挡、实施绿化围蔽；驿站建设及景观节点打造，配套亮化照明及景观小品；统一规范沿线广告招牌；同步实施人行道修复、步道提升、排水设施修缮、三线整治等市政基础工程。","C","","","","砖混结构","","","","","","441602202608110201","007261035","MA52Y5MQX","1083.0904","1083.0904","0","0","2026-07-25 00:00:00","2026-11-23 00:00:00","2026-08-11 00:00:00","","","","广东省河源市源城区火车站集贸市场祥兴路39-8号","","","","","","","","91441602MA4UXH577D","0762-3601333","陈伦贵","河源市源城区永和东路89号2101号","2016-11-07","91441600MA52Y5MQXP","18319519997","叶志标","河源市规划区内纬十六路南面、沿江西路西边泰和水岸公馆D栋商铺34号一层","2019-03-06","广东源信建设有限公司","91440113MAC3E55E88","13725699445","黄皓","河源市源城区雅居乐花园EB3-10栋裙楼C1098（101室）","2022-11-11","广东粤众建项目管理咨询有限公司","河源城建市政规划设计有限公司","河源市源城区源西街道办事处","1、在2026-08-21 14:35:11新增了本条记录（4416022608110002 源城区绿美环湖路（西环路段）提升改造建设项目设计施工总承包），共54个字段有数据"
"华杭新能源科技（河源）有限公司新建厂房和购置设备项目","441602202608140199","4416022608140001","","源城产业园区河源大道东面、规划道路西面","","1804.9161","","江西核鹰勘测规划设计有限责任公司","中联创工程设计有限公司","广东东正建设工程有限公司","广东友和工程管理有限公司","黄小天","","卞国林","苏榆淞","李子文","邹世贤","243 日历天","正常","质量监督注册号:2026-008;安全监督注册号:2026-008","河源市源城区住房和城乡建设局","","华杭新能源科技（河源）有限公司新建厂房和购置设备项目","","","","","","","","","","新建","","","华杭新能源科技（河源）有限公司","总建筑面积：7001.91㎡，其中厂房1#：5244㎡，1层；宿舍楼：1757.91㎡，6层。（工程规划许可证上总建筑面积：11979.91㎡，计容面积：11979.91㎡，其中：厂房1#：10222㎡（本层基底面积5244㎡，根据《工业项目建设用地控制指标》（国土资发〔2008〕24号）附加1第二条第二项“建筑物层高超过8米的，在计算容积率时该层建筑面积加倍计算”）；宿舍楼：1757.91㎡）【框架结构】","C","","","","其他","","","","","","441602202608140199","MAK3LMYC5","568231151","1804.9161","1804.9161","7001.91","7001.91","2026-04-26 00:00:00","2026-12-25 00:00:00","2026-08-14 00:00:00","91441602MAK3LMYC5G","","梁云华","河源市源城区龙岭工业园龙岭三路企业服务中心5楼509-11 室","2026-01-05","91360600160121397G","0701-6431288","柳哲权","江西省鹰潭市月湖区梅枫路10号A栋（4-11号店面）、B栋店面以及C栋店面","1993-07-19","江西核鹰勘测规划设计有限责任公司","91450703MA5N1TGP8C","0771-3936877","欧阳燕","中国（广西）自由贸易试验区南宁片区凯旋路18号广西合景国际金融广场十八层1807号办公室","2018-02-11","91441625568231151R","13502310678","张伟东","东源县新河大道回迁点A2-35、A2-36号","2011-01-17","广东东正建设工程有限公司","91441602776206954F","0762-3260966","包建红","河源市永和路华达街西水果批发市场B107及B207号","2005-06-03","广东友和工程管理有限公司","中联创工程设计有限公司","华杭新能源科技（河源）有限公司","1、在2026-08-21 14:35:11新增了本条记录（4416022608140001 华杭新能源科技（河源）有限公司新建厂房和购置设备项目），共63个字段有数据"
"高埔岗街道新作塘社区门店建设工程","441602202608180101","4416022608180001","","高埔岗农场城市副中心市场规划区第109、110、111号","","309.02","","江西核鹰勘测规划设计有限责任公司","西桥设计有限公司","广东源信建设有限公司","广州市鑫捷工程项目管理有限公司","叶崇佳","","卞国林","杨强生","苏润华","于允贵","252 日历天","正常","质量监督注册号:2026-019;安全监督注册号:2026-019","河源市源城区住房和城乡建设局","","高埔岗街道新作塘社区门店建设工程","","","","","","","","","","新建","","","河源市源城区高埔岗街道新作塘社区居民委员会","项目主要新建一栋地上4层，建筑高度16.10m，框架结构，占地225平方米，总建筑面积957.64平方米的门店。","C","","","","框架结构","","","","","","441602202608180101","092360520","MA52Y5MQX","309.02","309.02","957.64","957.64","2026-04-23 00:00:00","2026-12-31 00:00:00","2026-08-18 00:00:00","","","","广东省河源市源城区高埔岗街道新陂社区","","91360600160121397G","0701-6431288","柳哲权","江西省鹰潭市月湖区梅枫路10号A栋（4-11号店面）、B栋店面以及C栋店面","1993-07-19","江西核鹰勘测规划设计有限责任公司","91520900MA6HX1938N","","朱永琪","贵州省贵安新区贵安综合保税区电商科创园B栋6楼610-54号","2019-08-13","91441600MA52Y5MQXP","18319519997","叶志标","河源市规划区内纬十六路南面、沿江西路西边泰和水岸公馆D栋商铺34号一层","2019-03-06","广东源信建设有限公司","91440101304318499J","13760759935","曹泉","广州市黄埔区横沙智慧大街10号623房","2014-05-08","广州市鑫捷工程项目管理有限公司","西桥设计有限公司","河源市源城区高埔岗街道新陂社区居民委员会","1、在2026-08-21 14:35:11新增了本条记录（4416022608180001 高埔岗街道新作塘社区门店建设工程），共59个字段有数据"
"广东宸瀚重工科技有限公司智能制造生产基地建设项目","441621202608070101","4416212608120001","","蓝塘镇蓝塘产业新城CYXC05-0401地块内CYXC-9号地块","","15188","","江西核鹰勘测规划设计有限责任公司","广东省惠阳建筑设计院","广东中濂建设有限公司","中正创兴工程管理（广东）有限公司","何开洪","","卞国林","林素文","郑宗年","骆文俊","364 日历天","正常","质量监督注册号:2026009;安全监督注册号:2026009","紫金县住房和城乡建设局","","广东宸瀚重工科技有限公司智能制造生产基地建设项目","","","","","","","","","","新建","","","广东宸瀚重工科技有限公司","总建筑面积：66184.1平方米，计容面积：124552.1平方米；主要建设内容包括：三栋厂房，一栋宿舍。","C","","","","钢结构","","","","","","441621202608070101","MAG0YXPT8","MA54YLN33","15188","15188","66184.1","66184.1","2026-02-01 00:00:00","2027-01-31 00:00:00","2026-08-07 00:00:00","91441621MAG0YXPT8X","18948218449","何平","河源市紫金县紫金县蓝塘镇蓝塘产业新城CYXC05-0401地块内CYXC-9号地块","2025-10-15","91360600160121397G","0701-6431288","柳哲权","江西省鹰潭市月湖区梅枫路10号A栋（4-11号店面）、B栋店面以及C栋店面","1993-07-19","江西核鹰勘测规划设计有限责任公司","91441302MAA4FR7E3B","","朱琼","惠州市环城西一路35号","1994-01-11","91441203MA54YLN33F","13925541838","阙存伟","广东省东莞市大朗镇长塘花街二街33号101室","2020-07-08","广东中濂建设有限公司","91440113MACULWLM1H","15220645610","肖经纶","惠州市惠城区三环南路27号方直珑湖湾东岸花园39号楼1层09号","2023-08-15","中正创兴工程管理（广东）有限公司","广东省惠阳建筑设计院","广东宸瀚重工科技有限公司","1、在2026-08-21 14:35:11新增了本条记录（4416212608120001 广东宸瀚重工科技有限公司智能制造生产基地建设项目），共63个字段有数据"
"河源市连平县澳美五金产品生产厂房建设项目","441623202608110101","4416232608110001","","河源市连平县隆街镇产业物流园B-03-09A号地段","","2170","广东智宏建筑工程有限公司","江西核鹰勘测规划设计有限责任公司","河源城建市政规划设计有限公司","广东智宏建筑工程有限公司","中山中建设计监理咨询有限公司","王文利","何华云","卞国林","梁志光","何华云","何流坤","304 日历天","正常","质量监督注册号:2026-024;安全监督注册号:2026-024","连平县住房和城乡建设局","","河源市连平县澳美五金产品生产厂房建设项目","","","","","","","","","","新建","","","中山市澳美家具制造有限公司连平分公司","项目在河源市连平县隆街镇产业物流园B-03-09A号地块建设1栋4层混凝土厂房，1栋5层宿舍楼（含办公楼），地下1层泵房消防水池。本项目总建筑面积14922.6平方米。","C","","","","框架结构","","","","","","441623202608110101","MADP05MY5","MA55QTD71","2170","2170","14958.6","14958.6","2026-07-10 00:00:00","2027-05-10 00:00:00","2026-08-11 00:00:00","91441623MADP05MY5D","13925398844","叶志浓","河源市连平县元善镇城东工业园YS-05-0419C号地块","2024-06-20","91360600160121397G","0701-6431288","柳哲权","江西省鹰潭市月湖区梅枫路10号A栋（4-11号店面）、B栋店面以及C栋店面","1993-07-19","江西核鹰勘测规划设计有限责任公司","91441602MA4UXH577D","0762-3601333","陈伦贵","河源市源城区永和东路89号2101号","2016-11-07","91441602MA55QTD710","13829388994","叶远东","河源市源城区火车站小区东兴批发市场金田大厦901号（仅供办公场所使用）","2020-12-24","广东智宏建筑工程有限公司","91442000784881781D","13802699662","冼兰英","中山市小榄镇紫荆东路90号二层6号","2006-01-17","中山中建设计监理咨询有限公司","河源城建市政规划设计有限公司","中山市澳美家具制造有限公司连平分公司","1、在2026-08-21 14:35:11新增了本条记录（4416232608110001 河源市连平县澳美五金产品生产厂房建设项目），共66个字段有数据"
